City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Shirokovskiy,RU,2022-09-06 01:37:49,58.8424,57.7832,43.95,83,100,2.48
276,Praia,CV,2022-09-06 01:37:49,14.9215,-23.5087,79.34,94,75,5.75
277,Maygatasan,PH,2022-09-06 01:37:49,8.7094,125.7183,83.82,72,86,3.74
278,Kamenka,RU,2022-09-06 01:37:50,51.3223,42.7678,45.27,66,99,6.08
279,Laukaa,RU,2022-09-06 01:37:50,58.7372,29.8453,43.9,72,71,4.85
280,Sapele,NG,2022-09-06 01:37:50,5.8941,5.6767,73.81,96,94,2.8
281,Zhigansk,RU,2022-09-06 01:37:50,66.7697,123.3711,41.99,92,100,15.35
282,Ozernovskiy,RU,2022-09-06 01:37:51,51.5,156.5167,54.21,94,96,6.13
283,Morehead,US,2022-09-06 01:37:51,37.2711,-87.1764,73.94,94,0,0.0
284,Khiri Mat,TH,2022-09-06 01:37:51,16.8333,99.8,80.87,82,95,2.55
285,Klaksvik,FO,2022-09-06 01:37:51,62.2266,-6.589,54.52,94,89,21.34
286,Guerrero Negro,MX,2022-09-06 01:37:52,27.9769,-114.0611,76.42,85,10,17.94
287,Beyla,GN,2022-09-06 01:37:52,8.6833,-8.6333,68.05,96,98,1.68
288,Colombo,LK,2022-09-06 01:37:52,6.9319,79.8478,76.95,86,95,12.71
289,Caravelas,BR,2022-09-06 01:37:52,-17.7125,-39.2481,69.82,78,100,10.92
290,Erzin,TR,2022-09-06 01:37:53,36.9559,36.2,75.0,90,25,1.66
291,Aksu,CN,2022-09-06 01:37:53,41.1231,80.2644,75.25,20,4,1.03
292,Inhambane,MZ,2022-09-06 01:37:53,-23.865,35.3833,67.48,89,0,6.22
293,Cabatuan,PH,2022-09-06 01:37:53,10.8794,122.486,83.08,77,100,6.76
294,Vuktyl,RU,2022-09-06 01:37:54,63.8567,57.3094,41.99,96,100,5.28
